;ID_station;nom_station;adresse_station;latitude;longitude;type_charge;nbre_pdc;type_connecteur;prix
0;FR*SEO*PAB79005P0027A;Réseau Alterbase - Airvault - Pl du Cygne;Place du Cygne - 79600 AIRVAULT;46.825164;-0.142448;RAPIDE;2.0;T E/F-T2-T3;0.238531133932
1;FR*SEO*PAB01060A;Réseau Alterbase - Ardin - rue Alphonse Lavoix;rue Alphonse Lavoix - 79160 ARDIN;46.47397865;-0.55511357;RAPIDE;2.0;T E/F-T2-T3;0.368673169152
2;FR*SEO*PAB10078A;Réseau Alterbase - Argentonnay - Supérette;Avenue du Général de Gaulle - 79150 ARGENTONNAY;46.98505968;-0.45415867;RAPIDE;2.0;T E/F-T2-T3;0.252156587682
3;FR*SEO*PAB64023A;Réseau Alterbase - Aubigné - Mairie;rue Saint Cybard - 79110 AUBIGNE;46.05641465;-0.1419912;RAPIDE;2.0;T E/F-T2-T3;0.366346245484
4;FR*SEO*PAB08004A;Réseau Alterbase - Boismé - Mairie;Place de la Liberté - 79300 BOISME;46.77368;-0.43454;NORMALE;2.0;T E/F-T2-T3;0.294853416767
5;FR*SEO*PAB63086A;Réseau Alterbase - Bouin - Grande rue;Croisement RD 740 - 79110 BOUIN;46.083781;-0.012737;RAPIDE;2.0;T E/F-T2-T3;0.305856622774
6;FR*SEO*PAB12073A;Réseau Alterbase - Bressuire - agence Séolis;92 rte de Riparfond - 79300 BRESSUIRE;46.839468;-0.473538;RAPIDE;2.0;T E/F-T3;0.305209790869
7;FR*SEO*PAB79049P0021A;Réseau Alterbase - Bressuire - Gare;Place Saint Jacques - 79300 BRESSUIRE;46.837561;-0.494283;RAPIDE;2.0;T E/F-T3;0.27079362098
8;FR*SEO*PAB79049P008A;Réseau Alterbase - Bressuire - Siège de la Communauté d'Agglo 2B;27 Bd du Colonel Aubry - 79300 BRESSUIRE;46.842215;-0.488702;RAPIDE;2.0;T E/F-T3;0.256725415376
9;FR*SEO*PAB12016A;Réseau Alterbase - Bressuire/St Sauveur - Mairie;Rue des Rosiers - St Sauveur - 79300 BRESSUIRE;46.822523;-0.416726;RAPIDE;2.0;T E/F-T3;0.236830718508
10;FR*SEO*PAB12201A;Réseau Alterbase - Bressuire/St Sauveur - Salle Omnisports;Rue de Palveau - St Sauveur - 79300 BRESSUIRE;46.82054;-0.418693;RAPIDE;2.0;T E/F-T3;0.343053948762
11;FR*SEO*PAB20087A;Réseau Alterbase - Brion près Thouet - Aire de repos;route de Saumur - 79100 BRION PRES THOUET;47.0539167;-0.18543031;RAPIDE;2.0;T E/F-T2-T3;0.304910160814
